held_out_cohort,rank,gene_id,n_nonzero,total_abundance,n_cohorts,prevalence,mean_abundance
WirbelJ_2018,1,UniRef90_A7B5X2,1213,0.48779585017,9,0.999176276771005,0.0004018087727924217
WirbelJ_2018,2,UniRef90_A5KRL1,1212,0.18428135668099999,9,0.9983525535420099,0.00015179683416886324
WirbelJ_2018,3,UniRef90_A8S6F0,1212,0.160612520211,9,0.9983525535420099,0.0001323002637652389
WirbelJ_2018,4,UniRef90_A5ZTV7,1211,0.145802146077,9,0.9975288303130149,0.00012010061456095553
WirbelJ_2018,5,UniRef90_A0A1E3U755,1211,0.093398270262,9,0.9975288303130149,7.693432476276771e-05
WirbelJ_2018,6,UniRef90_E9RZN0,1211,0.091520215963,9,0.9975288303130149,7.538732781136738e-05
WirbelJ_2018,7,UniRef90_A0A329UIW4,1211,0.082845224246,9,0.9975288303130149,6.824153562273475e-05
WirbelJ_2018,8,UniRef90_G2T0F8,1211,0.057975869834,9,0.9975288303130149,4.7756070703459636e-05
WirbelJ_2018,9,UniRef90_O52836,1211,0.0338348315711,9,0.9975288303130149,2.7870536714250414e-05
WirbelJ_2018,10,UniRef90_A7B5X1,1210,0.318533724355,9,0.9967051070840197,0.00026238362796952223
WirbelJ_2018,11,UniRef90_A5Z319,1210,0.21718351279800002,9,0.9967051070840197,0.00017889910444645802
WirbelJ_2018,12,UniRef90_A5Z511,1210,0.152991046762,9,0.9967051070840197,0.0001260222790461285
WirbelJ_2018,13,UniRef90_A0A3E5E271,1210,0.0975292426036,9,0.9967051070840197,8.033710263887974e-05
WirbelJ_2018,14,UniRef90_B0PBV1,1210,0.086310890007,9,0.9967051070840197,7.10962850140033e-05
WirbelJ_2018,15,UniRef90_A0A1C5SJL7,1210,0.051923631614,9,0.9967051070840197,4.2770701494233936e-05
WirbelJ_2018,16,UniRef90_R9J210,1210,0.044843578860999996,9,0.9967051070840197,3.6938697579077426e-05
WirbelJ_2018,17,UniRef90_A0A2G5ZAL1,1210,0.03031913343,9,0.9967051070840197,2.4974574489291596e-05
WirbelJ_2018,18,UniRef90_D1KAJ3,1209,0.12344010344099998,9,0.9958813838550247,0.00010168048059390444
WirbelJ_2018,19,UniRef90_A5KR94,1209,0.076585375833,9,0.9958813838550247,6.308515307495882e-05
WirbelJ_2018,20,UniRef90_A0A2A7BHE3,1209,0.0379761680573,9,0.9958813838550247,3.128185177701812e-05
WirbelJ_2018,21,UniRef90_P10952,1209,0.030891264029,9,0.9958813838550247,2.5445851753706755e-05
WirbelJ_2018,22,UniRef90_A0A373N964,1209,0.0252179079989,9,0.9958813838550247,2.07725766053542e-05
WirbelJ_2018,23,UniRef90_A7B8Q0,1208,0.10086742318599999,9,0.9950576606260296,8.308683952718286e-05
WirbelJ_2018,24,UniRef90_A0A174CTY8,1208,0.048457732,9,0.9950576606260296,3.9915759472817135e-05
WirbelJ_2018,25,UniRef90_B0P4F9,1208,0.04524184575,9,0.9950576606260296,3.726675926688633e-05
WirbelJ_2018,26,UniRef90_G8FXM5,1208,0.038049475751,9,0.9950576606260296,3.134223702718287e-05
WirbelJ_2018,27,UniRef90_A0A0P6IRT9,1208,0.036918246183,9,0.9950576606260296,3.0410416954695222e-05
WirbelJ_2018,28,UniRef90_C0BDI2,1207,0.102103851797,9,0.9942339373970346,8.410531449505766e-05
WirbelJ_2018,29,UniRef90_A0A176U927,1207,0.0838254300534,9,0.9942339373970346,6.9048953915486e-05
WirbelJ_2018,30,UniRef90_A0A396GB52,1207,0.051270596398,9,0.9942339373970346,4.223278121746294e-05
WirbelJ_2018,31,UniRef90_G9RSQ0,1207,0.047974448722999996,9,0.9942339373970346,3.951766781136738e-05
WirbelJ_2018,32,UniRef90_A0A136WGM7,1207,0.046606477659,9,0.9942339373970346,3.8390838269357496e-05
WirbelJ_2018,33,UniRef90_A0A0S2W775,1207,0.03580912555,9,0.9942339373970346,2.949680852553542e-05
WirbelJ_2018,34,UniRef90_B6FSS6,1207,0.033000744298,9,0.9942339373970346,2.7183479652388795e-05
WirbelJ_2018,35,UniRef90_A0A176U5Z8,1207,0.0296519150193,9,0.9942339373970346,2.4424971185584842e-05
WirbelJ_2018,36,UniRef90_A0A0J8Z0N3,1207,0.015812450108,9,0.9942339373970346,1.3025082461285008e-05
WirbelJ_2018,37,UniRef90_A0A173XT59,1206,0.3487018812129,9,0.9934102141680395,0.00028723383954934104
WirbelJ_2018,38,UniRef90_D4C6N2,1206,0.031427059774,9,0.9934102141680395,2.588719915485997e-05
WirbelJ_2018,39,UniRef90_T4C374,1206,0.0267276332256,9,0.9934102141680395,2.201617234398682e-05
WirbelJ_2018,40,UniRef90_A8RDX0,1206,0.022382397827,9,0.9934102141680395,1.8436901010708403e-05
WirbelJ_2018,41,UniRef90_UPI0003B4B9B1,1206,0.0221261015497,9,0.9934102141680395,1.8225783813591434e-05
WirbelJ_2018,42,UniRef90_A0A2I7ZEY3,1206,0.019974141749,9,0.9934102141680395,1.645316453789127e-05
WirbelJ_2018,43,UniRef90_A0A116NS82,1206,0.018853674971,9,0.9934102141680395,1.553021002553542e-05
WirbelJ_2018,44,UniRef90_B0GAB5,1205,0.060850264819,9,0.9925864909390445,5.012377662191104e-05
WirbelJ_2018,45,UniRef90_A7AZN6,1205,0.050825844678,9,0.9925864909390445,4.186642889456343e-05
WirbelJ_2018,46,UniRef90_A0A1E3AIV3,1205,0.044755620861999995,9,0.9925864909390445,3.68662445321252e-05
