gene_id,taxon,abundance,taxon_fraction
UniRef90_H1B745,g__Faecalibacterium.s__Faecalibacterium_prausnitzii,0.0021277383673,0.42478500396319924
UniRef90_H1B745,g__Lachnoclostridium.s__Clostridium_bolteae,0.0009196329603,0.1835969575439089
UniRef90_H1B745,g__Holdemania.s__Holdemania_filiformis,0.0008547106171,0.17063575975881307
UniRef90_H1B745,g__Hungatella.s__Hungatella_hathewayi,0.0007851454363,0.15674765863887766
UniRef90_H1B745,g__Lachnoclostridium.s__Clostridium_clostridioforme,0.0002323332736,0.046383376858591015
UniRef90_H1B745,g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA,4.57424303e-05,0.009132090079725595
UniRef90_H1B745,unclassified,4.36740387e-05,0.008719153156884664
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_uniformis,0.0013799080767,0.13478579187165657
UniRef90_R5RC53,g__Parabacteroides.s__Parabacteroides_merdae,0.0013153736862,0.12848224232848776
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_thetaiotaomicron,0.0012938485831,0.1263797268671747
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_vulgatus,0.0012437328731,0.12148455611513855
UniRef90_R5RC53,g__Parabacteroides.s__Parabacteroides_distasonis,0.0007338237013,0.0716779692386813
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_caccae,0.0007275751294,0.07106762516879034
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_cellulosilyticus,0.0006639427431,0.06485218102367045
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_eggerthii,0.0005582718653,0.05453052758708249
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_stercoris,0.0005031626771,0.04914760701696394
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_fragilis,0.0004029956182,0.03936355213587451
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_xylanisolvens,0.0003366686185,0.03288490524048481
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_faecis,0.0003264721715,0.03188894311345744
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_intestinalis,0.000193330162,0.018883981779542
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_salyersiae,0.000187981438,0.01836153248598687
UniRef90_R5RC53,g__Parabacteroides.s__Parabacteroides_goldsteinii,0.0001368855139,0.0133706169985563
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_nordii,0.0001105598386,0.01079919426991172
UniRef90_R5RC53,g__Parabacteroides.s__Parabacteroides_gordonii,3.001787e-05,0.002932066596730315
UniRef90_R5RC53,unclassified,2.80263517e-05,0.0027375403267382355
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_oleiciplenus,2.547042e-05,0.002487883640201378
UniRef90_R5RC53,g__Odoribacter.s__Odoribacter_laneus,2.0480659e-05,0.0020004969084390094
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_stercorirosoris,9.0551286e-06,0.0008844811473018352
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_sp_D2,8.4743566e-06,0.0008277528657310157
UniRef90_R5RC53,g__Odoribacter.s__Odoribacter_laneus_CAG_561,1.728397e-06,0.00016882527339844185
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_ovatus,0.0019288819102,0.24307006739125053
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_thetaiotaomicron,0.00156475527724,0.19718426964256452
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_caccae,0.0012103327834,0.15252134911482143
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_fragilis_CAG_47,0.00085280091118,0.10746659702477543
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_fragilis,0.0007008567596,0.08831919615541506
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_xylanisolvens,0.00049510215752,0.062390815195867415
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_cellulosilyticus,0.00033940405301,0.04277035602944205
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_finegoldii,0.0003059978888,0.038560643375251655
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_intestinalis,0.000297540257,0.03749484607541425
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_faecis,0.0001847314966,0.023279132377364016
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_sp_D2,3.6140957e-05,0.004554340422355571
UniRef90_R5REJ2,unclassified,1.30534641e-05,0.0016449459045148494
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_faecichinchillae,3.6416433e-06,0.0004589054818053195
